Cape Town,3433441,South Africa
Durban,3120282,South Africa
Johannesburg,2026469,South Africa
Soweto,1695047,South Africa
Pretoria,1619438,South Africa
Port Elizabeth,967677,South Africa
Pietermaritzburg,750845,South Africa
Benoni,605344,South Africa
Tembisa,511655,South Africa
East London,478676,South Africa
Vereeniging,474681,South Africa
Bloemfontein,463064,South Africa
Boksburg,445168,South Africa
Welkom,431944,South Africa
Newcastle,404838,South Africa
Krugersdorp,378821,South Africa
Diepsloot,350000,South Africa
Randburg,337053,South Africa
Botshabelo,309714,South Africa
Brakpan,305692,South Africa
Witbank,262491,South Africa
Richards Bay,252968,South Africa
Vanderbijlpark,246754,South Africa
Centurion,233386,South Africa
Uitenhage,228912,South Africa
Roodepoort,225000,South Africa
Paarl,190000,South Africa
Springs,186394,South Africa
Carletonville,182304,South Africa
Klerksdorp,178921,South Africa
Midrand,173009,South Africa
Westonaria,156831,South Africa
Middelburg,154706,South Africa
Vryheid,150012,South Africa
Orkney,145801,South Africa
Kimberley,142089,South Africa
Embalenhle,141741,South Africa
Nigel,140644,South Africa
Mpumalanga,140121,South Africa
Bhisho,137287,South Africa
Randfontein,133654,South Africa
Worcester,127597,South Africa
Rustenburg,124064,South Africa
Polokwane,123749,South Africa
Potchefstroom,123669,South Africa
Virginia,122502,South Africa
Brits,122497,South Africa
Alberton,121536,South Africa
Nelspruit,110159,South Africa
Phalaborwa,109468,South Africa
Queenstown,105309,South Africa
Kroonstad,103992,South Africa
Bethal,101919,South Africa
Mokopane,101090,South Africa
Mabopane,97417,South Africa
Kutloanong,95008,South Africa
Stellenbosch,94263,South Africa
Stilfontein,93110,South Africa
Delmas,92046,South Africa
Grahamstown,91548,South Africa
Warmbaths,90210,South Africa
Louis Trichardt,86854,South Africa
Dundee,84413,South Africa
Piet Retief,84349,South Africa
Phuthaditjhaba,84258,South Africa
Bethlehem,83654,South Africa
Mthatha,78663,South Africa
Sasolburg,77016,South Africa
Mmabatho,76754,South Africa
Standerton,74021,South Africa
Bothaville,71934,South Africa
Upington,71373,South Africa
Parys,71319,South Africa
Schweizer Reneke,70214,South Africa
Ga Rankuwa,68767,South Africa
Knysna,68659,South Africa
Saldanha,68284,South Africa
Barberton,67927,South Africa
Lichtenburg,65863,South Africa
Heidelberg,64199,South Africa
Graaff Reinet,62896,South Africa
Fochville,62416,South Africa
Oudtshoorn,61507,South Africa
Atlantis,60266,South Africa
Kwadukuza,59899,South Africa
Mossel Bay,59031,South Africa
Fort Beaufort,58419,South Africa
Kraaifontein,57911,South Africa
Wellington,55543,South Africa
Heilbron,55196,South Africa
Viljoenskroon,54955,South Africa
Port Shepstone,52793,South Africa
Vryburg,49588,South Africa
Wolmaransstad,49366,South Africa
Edenvale,49292,South Africa
Esikhaleni,49265,South Africa
Balfour,46008,South Africa
Mondlo,44922,South Africa
Beaufort West,44737,South Africa
Aliwal North,44436,South Africa
Thohoyandou,44046,South Africa
